Сегмент;Регион;Бренд;Уровень скидки;Продано шт.;Затраты на ед.;Цена продажи;Валовая выручка;Сумма скидок;Выручка;Себестоимость продаж;Прибыль;Дата;Номер месяца;Название месяца;Год
Госсектор;Санкт-Петербург;Бабаевский;Высокая;10853;193,38;296,15;3214115,95;707105,51;2507010,44;1883062,64;623947,8;29.05.2024;5;Май;2024
Госсектор;Краснодар;Сударушка;Без скидки;3568;88,26;124,82;445357,76;0;445357,76;313953,89;131403,87;19.05.2022;5;Май;2022
Партнёрский канал;Москва;Бабаевский;Без скидки;1213;186,3;388,58;471347,54;0;471347,54;205742,52;265605,02;03.02.2022;2;Февраль;2022
Средний бизнес;Санкт-Петербург;Красная Шапочка;Средняя;11265;121,68;234,68;2643670,2;317240,42;2326429,78;1327166,9;999262,88;12.11.2023;11;Ноябрь;2023
Крупный бизнес;Москва;Красная Шапочка;Низкая;11031;112,76;218,12;2406081,72;120304,09;2285777,63;1163943,75;1121833,88;07.09.2024;9;Сентябрь;2024
Крупный бизнес;Казань;Аленка;Без скидки;1105;133,33;184,38;203739,9;0;203739,9;133176,63;70563,27;27.03.2022;3;Март;2022
Средний бизнес;Новосибирск;Победа;Без скидки;9397;78,62;108,3;1017695,1;0;1017695,1;707488,08;310207,02;09.08.2023;8;Август;2023
Средний бизнес;Москва;Вдохновение;Низкая;4976;328,43;534,03;2657333,28;132866,66;2524466,62;1612594,65;911871,97;19.06.2024;6;Июнь;2024
Малый бизнес;Краснодар;Сударушка;Без скидки;11838;106,38;217,36;2573107,68;0;2573107,68;1186679,8;1386427,88;19.06.2022;6;Июнь;2022
Малый бизнес;Санкт-Петербург;Бабаевский;Средняя;9437;232,29;331,47;3128082,39;375369,89;2752712,5;2015327,05;737385,45;29.08.2023;8;Август;2023
Средний бизнес;Владивосток;Победа;Без скидки;3230;79,65;128,53;415151,9;0;415151,9;227704,76;187447,14;24.12.2023;12;Декабрь;2023
Партнёрский канал;Нижний Новгород;Красная Шапочка;Высокая;1729;102,24;169,17;292494,93;64348,88;228146,05;166444,17;61701,88;24.11.2022;11;Ноябрь;2022
Госсектор;Казань;Победа;Без скидки;1070;67,45;103;110210;0;110210;69098,4;41111,6;12.01.2024;1;Январь;2024
Малый бизнес;Москва;Победа;Средняя;11625;83,75;136,36;1585185;190222,2;1394962,8;908628,48;486334,32;07.06.2022;6;Июнь;2022
Партнёрский канал;Казань;Победа;Низкая;7021;65,26;101,74;714316,54;35715,83;678600,71;456019,74;222580,97;23.02.2022;2;Февраль;2022
Крупный бизнес;Владивосток;Победа;Без скидки;9702;73,28;141,52;1373027,04;0;1373027,04;685712,4;687314,64;16.03.2023;3;Март;2023
Партнёрский канал;Новосибирск;Вдохновение;Без скидки;3779;275,22;547,58;2069304,82;0;2069304,82;971667,6;1097637,22;30.06.2024;6;Июнь;2024
Госсектор;Краснодар;Вдохновение;Низкая;1563;295,28;462,93;723559,59;36177,98;687381,61;422752,34;264629,27;19.11.2022;11;Ноябрь;2022
Крупный бизнес;Краснодар;Победа;Средняя;2488;77,18;150,04;373299,52;44795,94;328503,58;174436,06;154067,52;08.10.2024;10;Октябрь;2024
Госсектор;Краснодар;Победа;Низкая;8157;70,26;123,92;1010815,44;50540,77;960274,67;546423,23;413851,44;26.06.2022;6;Июнь;2022
Госсектор;Новосибирск;Бабаевский;Без скидки;9112;192,17;318,44;2901625,28;0;2901625,28;1661728,43;1239896,85;14.09.2022;9;Сентябрь;2022
Средний бизнес;Санкт-Петербург;Бабаевский;Без скидки;11642;220,73;319,23;3716475,66;0;3716475,66;2517024,19;1199451,47;08.01.2023;1;Январь;2023
Крупный бизнес;Нижний Новгород;Победа;Высокая;2534;75,08;118,48;300228,32;66050,23;234178,09;171120,15;63057,94;07.04.2023;4;Апрель;2023
Средний бизнес;Новосибирск;Аленка;Низкая;3716;142,9;251,95;936246,2;46812,31;889433,89;475270,53;414163,36;13.09.2023;9;Сентябрь;2023
Партнёрский канал;Санкт-Петербург;Победа;Средняя;10196;67,75;99,3;1012462,8;121495,54;890967,26;662490,18;228477,08;23.11.2023;11;Ноябрь;2023
Партнёрский канал;Москва;Аленка;Высокая;1244;122;235,25;292651;64383,22;228267,78;138375,8;89891,98;08.03.2023;3;Март;2023
Партнёрский канал;Нижний Новгород;Победа;Высокая;8659;67,54;118,82;1028862,38;226349,72;802512,66;559698,11;242814,55;11.09.2023;9;Сентябрь;2023
Малый бизнес;Екатеринбург;Вдохновение;Без скидки;5373;357,4;667,07;3584167,11;0;3584167,11;1726300,6;1857866,51;01.05.2024;5;Май;2024
Малый бизнес;Владивосток;Сударушка;Низкая;10439;104,13;207,86;2169850,54;108492,53;2061358,01;998223,63;1063134,38;09.12.2023;12;Декабрь;2023
Малый бизнес;Казань;Красная Шапочка;Высокая;5728;126,8;182,83;1047250,24;230395,05;816855,19;678338,7;138516,49;16.10.2022;10;Октябрь;2022
Госсектор;Москва;Красная Шапочка;Без скидки;10582;105,28;218,14;2308357,48;0;2308357,48;1101013,02;1207344,46;02.11.2023;11;Ноябрь;2023
Партнёрский канал;Краснодар;Сударушка;Средняя;8663;86,09;146,36;1267916,68;152150;1115766,68;734975,46;380791,22;15.10.2024;10;Октябрь;2024
Госсектор;Санкт-Петербург;Бабаевский;Без скидки;4444;189,9;306,63;1362663,72;0;1362663,72;747763,95;614899,77;10.10.2024;10;Октябрь;2024
Партнёрский канал;Владивосток;Красная Шапочка;Высокая;2261;100,78;202,75;458417,75;100851,9;357565,85;220412,66;137153,19;05.04.2024;4;Апрель;2024
Средний бизнес;Москва;Бабаевский;Высокая;9843;221,32;358,96;3533243,28;777313,52;2755929,76;1992483,05;763446,71;02.03.2024;3;Март;2024
Партнёрский канал;Владивосток;Победа;Низкая;10711;66,71;96;1028256;51412,8;976843,2;712394,32;264448,88;17.03.2024;3;Март;2024
Средний бизнес;Краснодар;Победа;Низкая;2863;77,33;133,92;383412,96;19170,65;364242,31;208114,11;156128,2;03.04.2022;4;Апрель;2022
Госсектор;Казань;Вдохновение;Низкая;8261;294,74;430,82;3559004,02;177950,2;3381053,82;2403622,18;977431,64;14.10.2022;10;Октябрь;2022
Средний бизнес;Краснодар;Сударушка;Без скидки;10600;101,18;159,3;1688580;0;1688580;987098,63;701481,37;09.11.2024;11;Ноябрь;2024
Партнёрский канал;Владивосток;Вдохновение;Низкая;8280;286,93;466,63;3863696,4;193184,82;3670511,58;2282784,67;1387726,91;03.05.2024;5;Май;2024
Партнёрский канал;Новосибирск;Вдохновение;Высокая;10279;281,17;583,51;5997899,29;1319537,84;4678361,45;2814853,72;1863507,73;12.04.2023;4;Апрель;2023
Госсектор;Владивосток;Сударушка;Без скидки;2921;89,09;136,45;398570,45;0;398570,45;246884,19;151686,26;14.08.2022;8;Август;2022
Крупный бизнес;Москва;Бабаевский;Низкая;7361;205,61;384,05;2826992,05;141349,6;2685642,45;1406408,29;1279234,16;23.08.2024;8;Август;2024
Госсектор;Казань;Победа;Средняя;9689;68,28;126,09;1221686,01;146602,32;1075083,69;623893,6;451190,09;05.10.2023;10;Октябрь;2023
Крупный бизнес;Владивосток;Победа;Низкая;9450;74,34;143,4;1355130;67756,5;1287373,5;678986,51;608386,99;26.06.2023;6;Июнь;2023
Партнёрский канал;Владивосток;Сударушка;Средняя;5071;83,89;127,4;646045,4;77525,45;568519,95;424023,31;144496,64;02.09.2023;9;Сентябрь;2023
Средний бизнес;Екатеринбург;Вдохновение;Без скидки;5694;335,59;594,12;3382919,28;0;3382919,28;1895826,83;1487092,45;15.07.2023;7;Июль;2023
Средний бизнес;Санкт-Петербург;Победа;Без скидки;6964;80,25;165,79;1154561,56;0;1154561,56;545757,89;608803,67;18.08.2023;8;Август;2023
Госсектор;Новосибирск;Вдохновение;Высокая;6174;301,89;556,08;3433237,92;755312,34;2677925,58;1807357,51;870568,07;15.03.2023;3;Март;2023
Крупный бизнес;Новосибирск;Победа;Низкая;2749;73,24;139,57;383677,93;19183,9;364494,03;182957,5;181536,53;14.04.2022;4;Апрель;2022
Партнёрский канал;Екатеринбург;Вдохновение;Средняя;1360;274,84;439,12;597203,2;71664,38;525538,82;350117,66;175421,16;09.10.2022;10;Октябрь;2022
Госсектор;Казань;Бабаевский;Без скидки;8322;194,95;373,71;3110014,62;0;3110014,62;1483611,29;1626403,33;08.08.2023;8;Август;2023
Госсектор;Санкт-Петербург;Вдохновение;Средняя;9267;298,62;593,58;5500705,86;660084,7;4840621,16;2447620,06;2393001,1;25.12.2022;12;Декабрь;2022
Малый бизнес;Казань;Аленка;Без скидки;8616;148,35;283,61;2443583,76;0;2443583,76;1258595,29;1184988,47;16.08.2023;8;Август;2023
Госсектор;Москва;Красная Шапочка;Высокая;5989;104,43;218,45;1308297,05;287825,35;1020471,7;591155,17;429316,53;08.10.2024;10;Октябрь;2024
Крупный бизнес;Владивосток;Красная Шапочка;Средняя;2345;113,83;216,09;506731,05;60807,73;445923,32;255665,31;190258,01;17.01.2023;1;Январь;2023
Госсектор;Краснодар;Красная Шапочка;Средняя;3375;106,5;194,79;657416,25;78889,95;578526,3;333794,81;244731,49;25.05.2024;5;Май;2024
Партнёрский канал;Краснодар;Аленка;Без скидки;11465;115,92;241,84;2772695,6;0;2772695,6;1245685,75;1527009,85;24.05.2023;5;Май;2023
Госсектор;Новосибирск;Бабаевский;Средняя;7819;196,14;405,13;3167711,47;380125,38;2787586,09;1405152,79;1382433,3;24.01.2022;1;Январь;2022
Средний бизнес;Краснодар;Вдохновение;Средняя;1517;339,38;576,62;874732,54;104967,9;769764,64;462926,15;306838,49;26.10.2024;10;Октябрь;2024
Средний бизнес;Санкт-Петербург;Вдохновение;Низкая;6521;338,31;512,32;3340838,72;167041,94;3173796,78;1976745,41;1197051,37;10.11.2022;11;Ноябрь;2022
Малый бизнес;Краснодар;Бабаевский;Без скидки;9306;239,46;471,55;4388244,3;0;4388244,3;2164733,7;2223510,6;17.06.2022;6;Июнь;2022
Партнёрский канал;Владивосток;Победа;Низкая;1779;67,65;97,02;172598,58;8629,93;163968,65;117876,52;46092,13;01.11.2024;11;Ноябрь;2024
Крупный бизнес;Казань;Сударушка;Низкая;9025;94,67;176,11;1589392,75;79469,64;1509923,11;825373,03;684550,08;28.09.2024;9;Сентябрь;2024
Госсектор;Владивосток;Аленка;Без скидки;2661;124,3;210,39;559847,79;0;559847,79;293362,48;266485,31;04.08.2024;8;Август;2024
Средний бизнес;Москва;Бабаевский;Низкая;549;223,75;399,11;219111,39;10955,57;208155,82;108765,7;99390,12;07.12.2023;12;Декабрь;2023
Госсектор;Москва;Аленка;Без скидки;1019;122,61;182,07;185529,33;0;185529,33;111977,29;73552,04;10.05.2024;5;Май;2024
Средний бизнес;Нижний Новгород;Бабаевский;Без скидки;6654;214,95;445,61;2965088,94;0;2965088,94;1408746,54;1556342,4;30.09.2022;9;Сентябрь;2022
Средний бизнес;Санкт-Петербург;Сударушка;Без скидки;9164;97,52;203,24;1862491,36;0;1862491,36;875959,42;986531,94;16.02.2022;2;Февраль;2022
Средний бизнес;Владивосток;Вдохновение;Без скидки;9215;333,57;507,78;4679192,7;0;4679192,7;2874892,87;1804299,83;14.11.2022;11;Ноябрь;2022
Средний бизнес;Екатеринбург;Вдохновение;Высокая;1027;342,24;569,63;585010,01;128702,2;456307,81;341613,16;114694,65;02.02.2022;2;Февраль;2022
Крупный бизнес;Екатеринбург;Аленка;Высокая;10231;131,22;235,98;2414311,38;531148,5;1883162,88;1294710,82;588452,06;10.04.2022;4;Апрель;2022
Крупный бизнес;Москва;Бабаевский;Без скидки;4339;210,5;403,27;1749788,53;0;1749788,53;888815,37;860973,16;14.10.2022;10;Октябрь;2022
Партнёрский канал;Новосибирск;Сударушка;Низкая;9961;84,09;155,94;1553318,34;77665,92;1475652,42;769337,51;706314,91;11.09.2023;9;Сентябрь;2023
Крупный бизнес;Екатеринбург;Бабаевский;Низкая;5008;204,47;421,49;2110821,92;105541,1;2005280,82;1009205,21;996075,61;25.12.2022;12;Декабрь;2022
Малый бизнес;Владивосток;Аленка;Низкая;11040;152,75;296,24;3270489,6;163524,48;3106965,12;1548496,92;1558468,2;02.05.2024;5;Май;2024
Малый бизнес;Казань;Красная Шапочка;Без скидки;3512;130,77;222,98;783105,76;0;783105,76;450961,16;332144,6;08.09.2023;9;Сентябрь;2023
Крупный бизнес;Владивосток;Аленка;Без скидки;7324;135,46;196,49;1439092,76;0;1439092,76;901969,01;537123,75;21.02.2023;2;Февраль;2023
Средний бизнес;Санкт-Петербург;Бабаевский;Низкая;2014;220,97;435,76;877620,64;43881,03;833739,61;394381,81;439357,8;12.02.2024;2;Февраль;2024
Партнёрский канал;Москва;Аленка;Средняя;10126;120,4;213;2156838;258820,56;1898017,44;1143005,54;755011,9;13.11.2023;11;Ноябрь;2023
Средний бизнес;Москва;Сударушка;Средняя;2422;101,23;193,93;469698,46;56363,82;413334,64;242661,8;170672,84;23.02.2023;2;Февраль;2023
Малый бизнес;Екатеринбург;Победа;Низкая;5137;83,4;145,97;749847,89;37492,39;712355,5;395484,63;316870,87;20.06.2023;6;Июнь;2023
Средний бизнес;Владивосток;Бабаевский;Высокая;8192;223,96;356,14;2917498,88;641849,75;2275649,13;1659239,56;616409,57;03.10.2023;10;Октябрь;2023
Малый бизнес;Москва;Победа;Средняя;2890;81,56;143,95;416015,5;49921,86;366093,64;223942,74;142150,9;05.05.2024;5;Май;2024
Средний бизнес;Казань;Сударушка;Низкая;4268;99,03;195,59;834778,12;41738,91;793039,21;397265,01;395774,2;23.11.2023;11;Ноябрь;2023
Средний бизнес;Владивосток;Вдохновение;Без скидки;8050;329,31;640,91;5159325,5;0;5159325,5;2386677,74;2772647,76;27.09.2024;9;Сентябрь;2024
Крупный бизнес;Москва;Победа;Высокая;1717;77;142,54;244741,18;53843,06;190898,12;128470,22;62427,9;24.04.2024;4;Апрель;2024
Крупный бизнес;Екатеринбург;Аленка;Средняя;649;132,72;224,56;145739,44;17488,73;128250,71;76423,87;51826,84;16.09.2024;9;Сентябрь;2024
Малый бизнес;Москва;Аленка;Без скидки;694;146,82;277,73;192744,62;0;192744,62;96216,47;96528,15;11.08.2023;8;Август;2023
Госсектор;Нижний Новгород;Сударушка;Высокая;2078;87,53;133,98;278410,44;61250,3;217160,14;173588,49;43571,65;01.06.2023;6;Июнь;2023
Средний бизнес;Новосибирск;Бабаевский;Высокая;6612;226,58;383,88;2538214,56;558407,2;1979807,36;1362092,66;617714,7;08.04.2023;4;Апрель;2023
Средний бизнес;Санкт-Петербург;Вдохновение;Высокая;2031;334,09;545,53;1107971,43;243753,71;864217,72;635870,81;228346,91;20.01.2022;1;Январь;2022
Крупный бизнес;Санкт-Петербург;Бабаевский;Без скидки;11066;213,58;378,97;4193682,02;0;4193682,02;2323191,39;1870490,63;15.07.2022;7;Июль;2022
Партнёрский канал;Москва;Сударушка;Средняя;11842;85,54;145,98;1728695,16;207443,42;1521251,74;897068,79;624182,95;02.06.2022;6;Июнь;2022
Средний бизнес;Москва;Сударушка;Низкая;756;102,51;183,52;138741,12;6937,06;131804,06;75193,6;56610,46;26.03.2024;3;Март;2024
Госсектор;Новосибирск;Сударушка;Средняя;9784;89,15;146,37;1432084,08;171850,09;1260233,99;861413,03;398820,96;11.11.2023;11;Ноябрь;2023
Малый бизнес;Казань;Вдохновение;Высокая;8704;363,68;585,3;5094451,2;1120779,26;3973671,94;2822720,81;1150951,13;21.04.2023;4;Апрель;2023
Госсектор;Краснодар;Победа;Без скидки;5847;67,05;104,26;609608,22;0;609608,22;391692,55;217915,67;01.10.2024;10;Октябрь;2024
Крупный бизнес;Краснодар;Победа;Без скидки;7575;73,59;131,68;997476;0;997476;515975,26;481500,74;28.08.2023;8;Август;2023
Крупный бизнес;Санкт-Петербург;Аленка;Низкая;3026;134,03;259,74;785973,24;39298,66;746674,58;364414,3;382260,28;08.03.2024;3;Март;2024
Средний бизнес;Краснодар;Аленка;Высокая;585;145,52;244,99;143319,15;31530,21;111788,94;82691,23;29097,71;29.07.2022;7;Июль;2022
Крупный бизнес;Санкт-Петербург;Сударушка;Без скидки;7853;95,32;165,32;1298257,96;0;1298257,96;668000,57;630257,39;03.07.2022;7;Июль;2022
Средний бизнес;Санкт-Петербург;Победа;Низкая;6811;76,45;126,93;864520,23;43226,01;821294,22;506902,53;314391,69;13.05.2023;5;Май;2023
Партнёрский канал;Казань;Вдохновение;Без скидки;3277;275,5;434,15;1422709,55;0;1422709,55;847899,75;574809,8;10.05.2022;5;Май;2022
Крупный бизнес;Нижний Новгород;Красная Шапочка;Без скидки;5411;114,89;161,73;875121,03;0;875121,03;565846,31;309274,72;21.05.2023;5;Май;2023
Малый бизнес;Екатеринбург;Бабаевский;Высокая;2719;232,44;479,2;1302944,8;286647,86;1016296,94;581359,36;434937,58;18.02.2024;2;Февраль;2024
Средний бизнес;Владивосток;Красная Шапочка;Без скидки;11166;124,19;180,34;2013676,44;0;2013676,44;1273661,05;740015,39;16.02.2023;2;Февраль;2023
Малый бизнес;Краснодар;Сударушка;Без скидки;5728;105,07;196,61;1126182,08;0;1126182,08;565081,04;561101,04;12.05.2023;5;Май;2023
Средний бизнес;Нижний Новгород;Красная Шапочка;Без скидки;6480;117,95;209,11;1355032,8;0;1355032,8;726915,91;628116,89;04.01.2023;1;Январь;2023
Партнёрский канал;Москва;Вдохновение;Без скидки;3934;280,56;440,06;1731196,04;0;1731196,04;1063040,07;668155,97;17.04.2024;4;Апрель;2024
Малый бизнес;Казань;Вдохновение;Низкая;4465;353,08;517,48;2310548,2;115527,41;2195020,79;1467369,39;727651,4;12.02.2024;2;Февраль;2024
Госсектор;Владивосток;Победа;Без скидки;10039;68,59;118,66;1191227,74;0;1191227,74;681997,1;509230,64;06.05.2024;5;Май;2024
Партнёрский канал;Москва;Красная Шапочка;Высокая;2291;102,83;189,54;434236,14;95531,95;338704,19;217349,61;121354,58;01.04.2022;4;Апрель;2022
Партнёрский канал;Нижний Новгород;Красная Шапочка;Без скидки;2235;98,23;151,67;338982,45;0;338982,45;206652,68;132329,77;28.11.2024;11;Ноябрь;2024
Партнёрский канал;Екатеринбург;Бабаевский;Низкая;6908;184,39;342,9;2368753,2;118437,66;2250315,54;1226448,86;1023866,68;05.11.2022;11;Ноябрь;2022
Средний бизнес;Москва;Бабаевский;Высокая;5340;219,39;454,42;2426602,8;533852,62;1892750,18;1047275,11;845475,07;18.10.2022;10;Октябрь;2022
Средний бизнес;Новосибирск;Красная Шапочка;Без скидки;3889;120,9;194,8;757577,2;0;757577,2;419266,54;338310,66;15.07.2024;7;Июль;2024
Средний бизнес;Санкт-Петербург;Красная Шапочка;Высокая;2385;117,29;188,52;449620,2;98916,44;350703,76;249839,38;100864,38;03.12.2022;12;Декабрь;2022
Крупный бизнес;Казань;Победа;Средняя;5922;75,27;155,72;922173,84;110660,86;811512,98;404660,99;406851,99;09.04.2024;4;Апрель;2024
Крупный бизнес;Казань;Вдохновение;Без скидки;6981;310,96;563,02;3930442,62;0;3930442,62;1961716,85;1968725,77;29.05.2024;5;Май;2024
Малый бизнес;Москва;Вдохновение;Средняя;3871;353,63;664,05;2570537,55;308464,51;2262073,04;1335392,34;926680,7;28.07.2022;7;Июль;2022
Партнёрский канал;Казань;Красная Шапочка;Низкая;3728;100,94;156,13;582052,64;29102,63;552950,01;370101,46;182848,55;16.12.2024;12;Декабрь;2024
Средний бизнес;Нижний Новгород;Победа;Без скидки;10117;76,93;124,16;1256126,72;0;1256126,72;727667,1;528459,62;20.12.2022;12;Декабрь;2022
Средний бизнес;Санкт-Петербург;Вдохновение;Средняя;5631;328,3;518,4;2919110,4;350293,25;2568817,15;1667424,81;901392,34;17.10.2022;10;Октябрь;2022
Партнёрский канал;Нижний Новгород;Бабаевский;Средняя;9917;183,51;273,3;2710316,1;325237,93;2385078,17;1740267,97;644810,2;21.12.2022;12;Декабрь;2022
Партнёрский канал;Казань;Бабаевский;Низкая;2798;181,33;359,3;1005321,4;50266,07;955055,33;484189,74;470865,59;06.01.2024;1;Январь;2024
Госсектор;Владивосток;Сударушка;Средняя;6790;89,83;155,32;1054622,8;126554,74;928068,06;572980,78;355087,28;04.10.2024;10;Октябрь;2024
Малый бизнес;Владивосток;Бабаевский;Средняя;1854;236,12;459,7;852283,8;102274,06;750009,74;396819,35;353190,39;08.03.2022;3;Март;2022
Средний бизнес;Екатеринбург;Победа;Низкая;3255;80,08;142,08;462470,4;23123,52;439346,88;253545,86;185801,02;11.10.2024;10;Октябрь;2024
Партнёрский канал;Санкт-Петербург;Победа;Высокая;4889;67,09;132;645348;141976,56;503371,44;303082,46;200288,98;27.03.2022;3;Март;2022
Малый бизнес;Екатеринбург;Бабаевский;Высокая;11209;238,75;375,62;4210324,58;926271,41;3284053,17;2675928,02;608125,15;10.07.2024;7;Июль;2024
Средний бизнес;Краснодар;Аленка;Без скидки;2423;144,09;220,13;533374,99;0;533374,99;341199,35;192175,64;20.12.2023;12;Декабрь;2023
Партнёрский канал;Нижний Новгород;Сударушка;Средняя;3885;85,17;166,43;646580,55;77589,67;568990,88;313814,71;255176,17;26.12.2024;12;Декабрь;2024
Средний бизнес;Казань;Красная Шапочка;Низкая;5240;121,28;250,36;1311886,4;65594,32;1246292,08;598476,07;647816,01;15.07.2022;7;Июль;2022
Крупный бизнес;Нижний Новгород;Аленка;Низкая;11246;131,98;263,9;2967819,4;148390,97;2819428,43;1350607,36;1468821,07;22.10.2023;10;Октябрь;2023
Крупный бизнес;Нижний Новгород;Бабаевский;Средняя;9960;211,67;385,42;3838783,2;460653,98;3378129,22;1950159,31;1427969,91;04.06.2022;6;Июнь;2022
Госсектор;Нижний Новгород;Победа;Низкая;11882;70,81;115,19;1368687,58;68434,38;1300253,2;836341,89;463911,31;02.11.2023;11;Ноябрь;2023
Партнёрский канал;Москва;Вдохновение;Высокая;8011;283,88;531,7;4259448,7;937078,71;3322369,99;2233256,74;1089113,25;30.12.2024;12;Декабрь;2024
Малый бизнес;Екатеринбург;Бабаевский;Средняя;8605;231,93;457,19;3934119,95;472094,39;3462025,56;1837156,02;1624869,54;25.09.2022;9;Сентябрь;2022
Партнёрский канал;Владивосток;Красная Шапочка;Высокая;1252;98,77;191,41;239645,32;52721,97;186923,35;115640,66;71282,69;12.09.2022;9;Сентябрь;2022
Крупный бизнес;Владивосток;Бабаевский;Высокая;7509;206,25;384,95;2890589,55;635929,7;2254659,85;1387399,25;867260,6;11.09.2023;9;Сентябрь;2023
Крупный бизнес;Новосибирск;Аленка;Низкая;4602;131,62;243,28;1119574,56;55978,73;1063595,83;580196,06;483399,77;17.04.2022;4;Апрель;2022
Малый бизнес;Новосибирск;Вдохновение;Средняя;7532;361,74;679,27;5116261,64;613951,4;4502310,24;2398025,77;2104284,47;03.09.2024;9;Сентябрь;2024
Госсектор;Казань;Победа;Средняя;9010;69,75;94,65;852796,5;102335,58;750460,92;605491,35;144969,57;04.09.2022;9;Сентябрь;2022
Малый бизнес;Казань;Бабаевский;Высокая;4251;233,55;443,29;1884425,79;414573,67;1469852,12;885885,55;583966,57;04.10.2023;10;Октябрь;2023
Средний бизнес;Новосибирск;Сударушка;Без скидки;2681;100,6;186,9;501078,9;0;501078,9;239557,71;261521,19;18.01.2022;1;Январь;2022
Партнёрский канал;Казань;Бабаевский;Низкая;3990;186,22;272,54;1087434,6;54371,73;1033062,87;690564,6;342498,27;25.06.2024;6;Июнь;2024
Крупный бизнес;Санкт-Петербург;Аленка;Средняя;2517;135,73;222,33;559604,61;67152,55;492452,06;340125,76;152326,3;07.10.2023;10;Октябрь;2023
Крупный бизнес;Екатеринбург;Красная Шапочка;Высокая;4565;115,37;207,67;948013,55;208562,98;739450,57;501864,06;237586,51;24.02.2022;2;Февраль;2022
Средний бизнес;Екатеринбург;Победа;Средняя;6918;77,78;108,19;748458,42;89815,01;658643,41;531490,27;127153,14;06.05.2023;5;Май;2023
Малый бизнес;Нижний Новгород;Аленка;Средняя;8685;152,45;213,93;1857982,05;222957,85;1635024,2;1306348,43;328675,77;25.01.2022;1;Январь;2022
Средний бизнес;Краснодар;Сударушка;Без скидки;9812;99,28;174,71;1714254,52;0;1714254,52;877435,32;836819,2;22.08.2024;8;Август;2024
Госсектор;Москва;Победа;Высокая;725;68,02;93,86;68048,5;14970,67;53077,83;43754,6;9323,23;26.03.2024;3;Март;2024
Партнёрский канал;Новосибирск;Вдохновение;Без скидки;7439;285,01;402,38;2993304,82;0;2993304,82;2002280,95;991023,87;09.11.2022;11;Ноябрь;2022
Средний бизнес;Санкт-Петербург;Красная Шапочка;Высокая;8877;123,8;257,59;2286626,43;503057,81;1783568,62;987586,51;795982,11;01.11.2023;11;Ноябрь;2023
Малый бизнес;Санкт-Петербург;Красная Шапочка;Без скидки;4409;125,38;177,37;782024,33;0;782024,33;515286,29;266738,04;17.07.2024;7;Июль;2024
Партнёрский канал;Москва;Красная Шапочка;Средняя;2456;98,24;142,73;350544,88;42065,39;308479,49;212652,78;95826,71;13.10.2024;10;Октябрь;2024
Средний бизнес;Новосибирск;Сударушка;Низкая;2579;101,24;203;523537;26176,85;497360,15;252730,37;244629,78;30.08.2022;8;Август;2022
Госсектор;Краснодар;Бабаевский;Низкая;9082;188,14;354,5;3219569;160978,45;3058590,55;1621883,08;1436707,47;07.06.2022;6;Июнь;2022
Малый бизнес;Владивосток;Победа;Низкая;1408;84;149,11;209946,88;10497,34;199449,54;109297,82;90151,72;07.06.2023;6;Июнь;2023
Госсектор;Санкт-Петербург;Сударушка;Высокая;1221;89,28;121,35;148168,35;32597,04;115571,31;96531,07;19040,24;16.01.2024;1;Январь;2024
Малый бизнес;Казань;Сударушка;Высокая;9558;108,34;204,28;1952508,24;429551,81;1522956,43;992730,84;530225,59;05.04.2023;4;Апрель;2023
Средний бизнес;Екатеринбург;Бабаевский;Низкая;4944;224,81;399,86;1976907,84;98845,39;1878062,45;994010,5;884051,95;18.04.2022;4;Апрель;2022
Крупный бизнес;Екатеринбург;Победа;Высокая;7068;73,06;124,12;877280,16;193001,64;684278,52;471915,1;212363,42;29.09.2023;9;Сентябрь;2023
Средний бизнес;Санкт-Петербург;Победа;Без скидки;630;78,13;122,56;77212,8;0;77212,8;47949,06;29263,74;12.05.2023;5;Май;2023
Малый бизнес;Краснодар;Победа;Без скидки;3701;85,17;149,89;554742,89;0;554742,89;307496,73;247246,16;05.11.2022;11;Ноябрь;2022
Госсектор;Нижний Новгород;Аленка;Средняя;9372;123,06;243,62;2283206,64;273984,8;2009221,84;1136322,83;872899,01;18.11.2023;11;Ноябрь;2023
Госсектор;Нижний Новгород;Вдохновение;Низкая;2203;289,19;603,64;1329818,92;66490,95;1263327,97;592730,34;670597,63;03.05.2022;5;Май;2022
Крупный бизнес;Новосибирск;Аленка;Высокая;4292;138,22;240,48;1032140,16;227070,84;805069,32;571943,88;233125,44;02.02.2024;2;Февраль;2024
Малый бизнес;Санкт-Петербург;Победа;Высокая;8780;82,15;161,42;1417267,6;311798,87;1105468,73;641200,58;464268,15;08.05.2022;5;Май;2022
Малый бизнес;Казань;Сударушка;Низкая;4776;108,64;222,12;1060845,12;53042,26;1007802,86;481067,59;526735,27;31.10.2023;10;Октябрь;2023
Средний бизнес;Владивосток;Красная Шапочка;Средняя;1723;123,96;180;310140;37216,8;272923,2;207691,94;65231,26;12.08.2022;8;Август;2022
Крупный бизнес;Санкт-Петербург;Сударушка;Без скидки;8135;93,94;135,33;1100909,55;0;1100909,55;705354,15;395555,4;02.03.2023;3;Март;2023
Малый бизнес;Новосибирск;Бабаевский;Низкая;2464;229,42;448,68;1105547,52;55277,38;1050270,14;518092,37;532177,77;24.03.2022;3;Март;2022
